incident_id,trip_id,truck_id,driver_id,incident_date,incident_type,location_city,location_state,at_fault_flag,injury_flag,vehicle_damage_cost,cargo_damage_cost,claim_amount,preventable_flag,description
INC00000012,TRIP00048458,TRK00007,DRV00147,"2023-09-16 03:00:00","Customer Complaint",Omaha,AZ,False,False,0,0,0,True,"Severe incident involving equipment"
INC00000013,TRIP00055475,TRK00040,DRV00104,"2023-12-16 18:00:00","Customer Complaint",Indianapolis,TX,False,True,0,0,0,True,"Moderate incident involving equipment"
INC00000014,TRIP00045572,TRK00058,DRV00113,"2023-08-10 17:00:00","DOT Violation",Portland,TN,False,False,0,0,0,False,"Minor incident involving weather"
INC00000015,TRIP00043170,TRK00026,DRV00058,"2023-07-08 02:00:00",Accident,Atlanta,TN,False,False,4497.67,0,4497.67,True,"Moderate incident involving traffic"
INC00000016,TRIP00033560,TRK00099,DRV00079,"2023-03-07 03:00:00","DOT Violation",Chicago,AZ,True,False,3082.44,0,3082.44,False,"Moderate incident involving weather"
INC00000017,TRIP00078434,TRK00007,DRV00102,"2024-10-05 04:00:00","Customer Complaint","Salt Lake City",NY,False,True,0,0,0,True,"Severe incident involving equipment"
INC00000018,TRIP00051688,TRK00039,DRV00132,"2023-10-27 13:00:00","DOT Violation",Miami,WI,False,True,9695.95,0,9695.95,True,"Severe incident involving weather"
INC00000019,TRIP00064255,TRK00020,DRV00119,"2024-04-05 09:00:00",Accident,Miami,TN,False,False,5672.35,0,5672.35,True,"Severe incident involving traffic"
INC00000020,TRIP00005520,TRK00108,DRV00122,"2022-03-11 09:00:00",Accident,Milwaukee,WI,False,False,12824.5,0,12824.5,False,"Moderate incident involving weather"
INC00000021,TRIP00028811,TRK00086,DRV00066,"2023-01-06 04:00:00","Moving Violation",Portland,AZ,False,False,0,0,0,True,"Minor incident involving other driver"
INC00000022,TRIP00030106,TRK00061,DRV00058,"2023-01-20 04:00:00",Accident,Houston,NY,False,False,19400.81,0,19400.81,True,"Minor incident involving traffic"
INC00000023,TRIP00006542,TRK00057,DRV00062,"2022-03-25 12:00:00",Accident,Detroit,OH,False,False,3931.12,40113.96,44045.08,False,"Minor incident involving equipment"
INC00000024,TRIP00016403,TRK00116,DRV00057,"2022-07-30 12:00:00","Customer Complaint",Charlotte,PA,False,False,2870.01,0,2870.01,False,"Moderate incident involving traffic"
INC00000025,TRIP00074001,TRK00025,DRV00002,"2024-08-07 10:00:00","Equipment Damage",Memphis,PA,False,True,22117.89,0,22117.89,False,"Moderate incident involving weather"
INC00000026,TRIP00064319,TRK00082,DRV00038,"2024-04-08 06:00:00","DOT Violation","Los Angeles",CO,True,True,18303.46,0,18303.46,False,"Minor incident involving traffic"
INC00000027,TRIP00012626,TRK00013,DRV00104,"2022-06-12 10:00:00","Customer Complaint",Phoenix,GA,True,False,13379.62,2259.73,15639.35,True,"Minor incident involving equipment"
INC00000028,TRIP00079288,TRK00054,DRV00004,"2024-10-13 16:00:00","Customer Complaint",Portland,MO,False,False,10006.92,0,10006.92,False,"Minor incident involving other driver"
INC00000029,TRIP00019840,TRK00039,DRV00017,"2022-09-12 03:00:00","Equipment Damage","Los Angeles",FL,False,True,6121.59,24601.04,30722.63,False,"Severe incident involving other driver"
INC00000030,TRIP00033018,TRK00024,DRV00045,"2023-02-28 03:00:00","Customer Complaint",Dallas,TN,False,False,3783.54,0,3783.54,False,"Severe incident involving traffic"
INC00000031,TRIP00051725,TRK00045,DRV00149,"2023-10-27 02:00:00","Equipment Damage",Minneapolis,IN,False,False,23296.79,0,23296.79,False,"Severe incident involving weather"
INC00000032,TRIP00068238,TRK00020,DRV00088,"2024-05-27 06:00:00",Accident,Philadelphia,WA,True,False,24614.16,0,24614.16,False,"Severe incident involving other driver"
INC00000033,TRIP00016176,TRK00010,DRV00011,"2022-07-28 12:00:00","DOT Violation",Seattle,TX,False,False,17729.8,8080.5,25810.3,True,"Minor incident involving equipment"
INC00000034,TRIP00021253,TRK00016,DRV00014,"2022-09-29 10:00:00","DOT Violation",Chicago,PA,False,False,14994.22,49251.5,64245.72,False,"Minor incident involving other driver"
INC00000035,TRIP00019719,TRK00026,DRV00006,"2022-09-10 06:00:00","Equipment Damage","New York",TN,False,False,19624.96,0,19624.96,False,"Severe incident involving equipment"
INC00000036,TRIP00030657,TRK00114,DRV00011,"2023-01-27 16:00:00","DOT Violation","New York",NC,False,False,22477.63,0,22477.63,False,"Minor incident involving equipment"
INC00000037,TRIP00042776,TRK00031,DRV00001,"2023-07-04 01:00:00","Customer Complaint",Miami,WI,True,False,22667.73,0,22667.73,False,"Severe incident involving traffic"
INC00000038,TRIP00022838,TRK00092,DRV00050,"2022-10-19 12:00:00",Accident,Chicago,MO,False,True,0,0,0,False,"Moderate incident involving traffic"
INC00000039,TRIP00080961,TRK00112,DRV00018,"2024-11-05 23:00:00","Customer Complaint",Charlotte,CA,False,False,13425.42,376.13,13801.55,True,"Moderate incident involving equipment"
INC00000040,TRIP00021010,TRK00008,DRV00128,"2022-09-27 07:00:00","Customer Complaint",Denver,CO,True,True,19633.39,0,19633.39,False,"Moderate incident involving equipment"
INC00000041,TRIP00043932,TRK00053,DRV00100,"2023-07-19 19:00:00","Customer Complaint",Minneapolis,NC,False,False,24060.67,10999.07,35059.74,False,"Moderate incident involving weather"
INC00000042,TRIP00018651,TRK00054,DRV00094,"2022-08-27 05:00:00","Moving Violation",Memphis,TX,False,False,6561.35,36910.92,43472.27,False,"Severe incident involving other driver"
INC00000043,TRIP00081463,TRK00099,DRV00103,"2024-11-12 09:00:00","Moving Violation",Nashville,NV,False,False,16514.69,0,16514.69,False,"Minor incident involving weather"
INC00000044,TRIP00043850,TRK00062,DRV00104,"2023-07-17 13:00:00","DOT Violation",Chicago,MI,True,False,13299.51,0,13299.51,True,"Minor incident involving weather"
INC00000045,TRIP00068665,TRK00033,DRV00058,"2024-06-03 03:00:00","DOT Violation",Columbus,TN,True,True,0,0,0,False,"Moderate incident involving other driver"
INC00000046,TRIP00013936,TRK00095,DRV00029,"2022-06-28 09:00:00","DOT Violation",Chicago,MO,False,False,0,0,0,False,"Moderate incident involving weather"
INC00000047,TRIP00014635,TRK00031,DRV00041,"2022-07-09 18:00:00","Equipment Damage",Columbus,TN,True,True,12202.8,0,12202.8,False,"Minor incident involving equipment"
INC00000048,TRIP00073076,TRK00105,DRV00066,"2024-07-27 12:00:00","Customer Complaint",Phoenix,IL,False,False,0,0,0,False,"Moderate incident involving equipment"
INC00000049,TRIP00056337,TRK00110,DRV00058,"2023-12-26 16:00:00","Equipment Damage",Memphis,GA,True,True,23165.07,0,23165.07,False,"Severe incident involving equipment"
INC00000050,TRIP00039757,TRK00067,DRV00054,"2023-05-27 22:00:00","Equipment Damage",Houston,NV,True,False,0,0,0,True,"Severe incident involving other driver"
INC00000051,TRIP00016308,TRK00018,DRV00023,"2022-07-29 10:00:00",Accident,"Los Angeles",NV,False,False,5214.81,0,5214.81,True,"Minor incident involving other driver"
INC00000052,TRIP00080811,TRK00067,DRV00149,"2024-11-03 08:00:00",Accident,"Los Angeles",NE,False,False,0,0,0,False,"Minor incident involving other driver"
INC00000053,TRIP00036732,TRK00009,DRV00019,"2023-04-15 02:00:00",Accident,Houston,NV,False,False,852.1,0,852.1,False,"Minor incident involving equipment"
INC00000054,TRIP00022029,TRK00105,DRV00090,"2022-10-10 23:00:00",Accident,Miami,UT,False,False,18809.17,0,18809.17,False,"Moderate incident involving traffic"
INC00000055,TRIP00000271,TRK00093,DRV00124,"2022-01-06 15:00:00","Equipment Damage",Phoenix,NY,True,True,23366.57,0,23366.57,False,"Severe incident involving equipment"
INC00000056,TRIP00069367,TRK00055,DRV00100,"2024-06-11 15:00:00","DOT Violation",Chicago,NE,True,False,0,17112.08,17112.08,False,"Minor incident involving other driver"
INC00000057,TRIP00052380,TRK00103,DRV00082,"2023-11-05 17:00:00","Moving Violation",Charlotte,TN,True,True,0,0,0,True,"Minor incident involving other driver"
INC00000058,TRIP00077372,TRK00024,DRV00127,"2024-09-22 04:00:00","DOT Violation",Memphis,MN,True,True,24102.19,0,24102.19,False,"Minor incident involving other driver"
INC00000059,TRIP00068506,TRK00060,DRV00089,"2024-05-29 11:00:00","Equipment Damage","Salt Lake City",NC,True,True,15019.37,0,15019.37,True,"Minor incident involving equipment"
INC00000060,TRIP00067707,,DRV00101,"2024-05-21 07:00:00",Accident,Atlanta,IL,True,False,13414.05,0,13414.05,False,"Severe incident involving equipment"
INC00000061,TRIP00079871,TRK00011,DRV00119,"2024-10-22 20:00:00","Moving Violation","Salt Lake City",OR,False,False,18400.91,0,18400.91,False,"Moderate incident involving weather"
INC00000062,TRIP00075973,TRK00001,DRV00141,"2024-09-04 21:00:00","DOT Violation","Salt Lake City",WA,False,False,7737.05,0,7737.05,True,"Minor incident involving other driver"
INC00000063,TRIP00008117,TRK00019,DRV00142,"2022-04-17 17:00:00","Equipment Damage",Seattle,CA,True,False,6476.75,43698.11,50174.86,False,"Minor incident involving equipment"
INC00000064,TRIP00036527,TRK00040,DRV00112,"2023-04-13 17:00:00","DOT Violation",Milwaukee,OH,False,False,0,0,0,False,"Moderate incident involving traffic"
INC00000065,TRIP00084686,TRK00006,DRV00124,"2024-12-24 09:00:00",Accident,Phoenix,OK,True,False,17783.76,0,17783.76,True,"Severe incident involving weather"
INC00000066,TRIP00010156,TRK00002,DRV00070,"2022-05-10 12:00:00","DOT Violation","Salt Lake City",TN,False,False,18964.84,42214.25,61179.09,True,"Minor incident involving other driver"
INC00000067,TRIP00018047,TRK00031,DRV00066,"2022-08-18 02:00:00","DOT Violation",Columbus,IN,True,False,0,0,0,True,"Minor incident involving equipment"
INC00000068,TRIP00083177,TRK00092,DRV00030,"2024-12-02 08:00:00","Moving Violation",Denver,FL,True,False,16566.78,0,16566.78,False,"Minor incident involving weather"
INC00000069,TRIP00075012,TRK00061,DRV00043,"2024-08-21 06:00:00","DOT Violation","Los Angeles",GA,True,False,15399.79,0,15399.79,True,"Minor incident involving traffic"
INC00000070,TRIP00035290,TRK00069,DRV00012,"2023-03-31 00:00:00","Equipment Damage",Charlotte,MI,False,False,0,47959.36,47959.36,False,"Moderate incident involving traffic"
INC00000071,TRIP00057741,TRK00105,DRV00070,"2024-01-15 17:00:00",Accident,Chicago,GA,False,False,0,0,0,True,"Minor incident involving traffic"
INC00000072,TRIP00042350,TRK00057,DRV00092,"2023-06-29 19:00:00","DOT Violation",Nashville,MN,False,False,0,0,0,True,"Severe incident involving weather"
INC00000073,TRIP00074311,TRK00053,DRV00004,"2024-08-11 07:00:00","Equipment Damage",Miami,CA,True,False,0,0,0,False,"Moderate incident involving weather"
INC00000074,TRIP00010516,TRK00103,DRV00101,"2022-05-17 09:00:00","Customer Complaint",Seattle,NE,True,False,0,0,0,True,"Severe incident involving traffic"
INC00000075,TRIP00029280,TRK00050,DRV00003,"2023-01-11 08:00:00","DOT Violation","Salt Lake City",MO,True,False,0,0,0,False,"Minor incident involving equipment"
INC00000076,TRIP00025439,TRK00054,DRV00047,"2022-11-21 16:00:00","Equipment Damage",Phoenix,AZ,False,True,23775.81,0,23775.81,False,"Severe incident involving equipment"
INC00000077,TRIP00039355,TRK00083,DRV00146,"2023-05-21 11:00:00","Equipment Damage",Memphis,UT,False,True,18884.39,29755.82,48640.21,False,"Moderate incident involving equipment"
INC00000078,TRIP00036751,TRK00093,DRV00121,"2023-04-18 07:00:00","Moving Violation","Las Vegas",GA,False,False,0,0,0,False,"Severe incident involving other driver"
INC00000079,TRIP00017986,TRK00055,DRV00044,"2022-08-18 01:00:00","Customer Complaint",Miami,IL,False,False,19373.44,0,19373.44,False,"Severe incident involving weather"
